biosample_acc,asm_acc,collection_date,meropenem,gentamicin,ciprofloxacin,trimethoprim-sulfamethoxazole,cefoxitin
SAMN02141969,GCA_000417105.1,NULL,R,S,R,S,
SAMN02142017,GCA_000417125.1,NULL,R,S,R,R,
SAMN02141978,GCA_000401195.1,NULL,R,S,R,R,
SAMN02142026,GCA_000417305.1,NULL,R,R,R,R,
SAMN02142027,GCA_000417325.1,NULL,R,R,R,R,
SAMN02142029,GCA_000417345.1,NULL,R,R,R,R,
SAMN02141980,GCA_000417485.1,NULL,R,S,S,S,
SAMN02141981,GCA_000417225.2,NULL,R,S,R,R,
SAMN02141982,GCA_000417205.1,NULL,R,R,R,R,
SAMN02142022,GCA_000417065.1,NULL,R,S,R,S,
SAMN02142021,GCA_000417045.1,NULL,R,R,R,R,
SAMN02141972,GCA_000417265.2,NULL,R,S,R,R,
SAMN02141975,GCA_000417545.1,NULL,S,R,R,R,
SAMN02141976,GCA_000417245.1,NULL,R,R,R,R,
SAMN02142000,GCA_000417165.1,NULL,R,S,R,R,
SAMN02141971,GCA_000417185.1,NULL,R,S,R,S,
SAMN02141985,GCA_000417145.1,NULL,R,R,R,R,
SAMN02142023,GCA_000417445.1,NULL,R,R,R,R,
SAMN02141974,GCA_000417465.1,NULL,S,R,R,R,
SAMN02141989,GCA_000417365.1,NULL,R,S,R,S,
SAMN02141705,GCA_000417385.1,NULL,R,S,R,R,
SAMN02141988,GCA_000417405.1,NULL,R,S,R,R,
SAMN02141990,GCA_000417425.1,NULL,R,S,R,S,
SAMN02141973,GCA_000406425.1,NULL,R,S,R,R,
SAMN02141984,GCA_000406445.1,NULL,R,I,R,R,
SAMN02142028,GCA_000406525.1,NULL,R,R,R,R,
SAMN02141968,GCA_000406465.1,NULL,R,I,R,R,
SAMN02141979,GCA_000406605.1,NULL,R,S,R,R,
SAMN02141967,GCA_000406665.1,NULL,R,S,R,R,
SAMN02141977,GCA_000406685.1,NULL,R,R,R,R,
SAMN02141986,GCA_000406705.1,NULL,R,I,R,R,
SAMN02142041,GCA_000406725.1,NULL,R,R,R,S,
SAMN02142042,GCA_000406825.1,NULL,R,R,R,R,
SAMN02142043,GCA_000406845.1,NULL,R,S,R,R,
SAMN02142049,GCA_000406565.1,NULL,R,S,R,R,
SAMN02142044,GCA_000406585.1,NULL,R,S,R,R,
SAMN02142047,GCA_000406625.1,NULL,R,S,R,R,
SAMN02142050,GCA_000406545.1,NULL,R,R,R,R,
SAMN02142051,GCA_000406645.1,NULL,R,S,R,R,
SAMN02141966,GCA_000406505.1,NULL,S,S,S,S,
SAMN02141991,GCA_000406485.1,NULL,R,S,R,S,
