organism,taxon_id,antibiotic,n_resistant,n_susceptible,n_intermediate,total_RS,balance
Escherichia coli,562,ciprofloxacin,2066,6559,120,8625,0.24
Escherichia coli,562,ceftazidime,998,6210,250,7208,0.138
Escherichia coli,562,piperacillin/tazobactam,473,5850,193,6323,0.075
Escherichia coli,562,cefotaxime,1269,5317,91,6586,0.193
Escherichia coli,562,gentamicin,872,6687,169,7559,0.115
Escherichia coli,562,meropenem,69,5934,39,6003,0.011
Escherichia coli,562,ampicillin,3796,2906,13,6702,0.434
Escherichia coli,562,cefuroxime,776,4314,11,5090,0.152
Escherichia coli,562,trimethoprim/sulfamethoxazole,1438,2704,41,4142,0.347
Escherichia coli,562,tigecycline,10,4334,10,4344,0.002
Escherichia coli,562,cefepime,211,1218,69,1429,0.148
Escherichia coli,562,amoxicillin/clavulanic acid,1484,2940,94,4424,0.335
Escherichia coli,562,imipenem,110,1611,11,1721,0.064
Escherichia coli,562,amikacin,30,2477,88,2507,0.012
Escherichia coli,562,tobramycin,372,1402,50,1774,0.21
Escherichia coli,562,aztreonam,229,960,43,1189,0.193
Escherichia coli,562,ceftriaxone,465,709,2,1174,0.396
Escherichia coli,562,chloramphenicol,299,666,26,965,0.31
Escherichia coli,562,colistin,51,193,28,244,0.209
Escherichia coli,562,minocycline,12,178,8,190,0.063
Escherichia coli,562,amoxicillin,1042,734,77,1776,0.413
Escherichia coli,562,cefoxitin,401,764,58,1165,0.344
Escherichia coli,562,tetracycline,650,448,7,1098,0.408
Escherichia coli,562,nalidixic acid,262,950,29,1212,0.216
Escherichia coli,562,cefpodoxime,104,72,1,176,0.409
Escherichia coli,562,fosfomycin,4,170,1,174,0.023
Escherichia coli,562,ampicillin/sulbactam,138,140,27,278,0.496
Escherichia coli,562,levofloxacin,291,111,9,402,0.276
Escherichia coli,562,cefotetan,4,120,2,124,0.032
Escherichia coli,562,doripenem,24,72,9,96,0.25
Escherichia coli,562,piperacillin,17,16,1,33,0.485
Escherichia coli,562,cefmetazole,0,0,0,0,0.0
Escherichia coli,562,tigecyklin,0,0,0,0,0.0
Escherichia coli,562,cefoperazone/sulbactam,0,0,0,0,0.0
Escherichia coli,562,cefozopran,0,0,0,0,0.0
Escherichia coli,562,ertapenem,205,723,9,928,0.221
Escherichia coli,562,cefotaxime/clavulanic acid,2,0,0,2,0.0
Escherichia coli,562,ceftazidime/clavulanic acid,0,0,0,0,0.0
Escherichia coli,562,amoxicillin_clavulanat,0,0,0,0,0.0
Escherichia coli,562,trimethoprim,648,737,4,1385,0.468
Escherichia coli,562,cefpirom,0,0,0,0,0.0
Escherichia coli,562,streptomycin,345,244,53,589,0.414
Escherichia coli,562,azithromycin,30,554,0,584,0.051
Escherichia coli,562,nitrofurantoin,43,636,19,679,0.063
Escherichia coli,562,cefazolin,320,95,49,415,0.229
Escherichia coli,562,ceftobiprole,0,0,0,0,0.0
Escherichia coli,562,cephalothin,302,139,0,441,0.315
Escherichia coli,562,doxycycline,149,77,72,226,0.341
Escherichia coli,562,ceftiofur,106,98,1,204,0.48
Escherichia coli,562,norfloxacin,76,344,12,420,0.181
Escherichia coli,562,sulfisoxazole,99,12,0,111,0.108
Escherichia coli,562,tetracyklin,0,0,0,0,0.0
Escherichia coli,562,sulfamethoxazole,176,188,0,364,0.484
Escherichia coli,562,cefalotin,60,191,163,251,0.239
Klebsiella pneumoniae,573,meropenem,1496,2557,159,4053,0.369
Klebsiella pneumoniae,573,gentamicin,1633,2593,118,4226,0.386
Klebsiella pneumoniae,573,ciprofloxacin,2557,1183,103,3740,0.316
Klebsiella pneumoniae,573,ceftazidime,2673,989,95,3662,0.27
Klebsiella pneumoniae,573,amikacin,471,2540,442,3011,0.156
Klebsiella pneumoniae,573,trimethoprim/sulfamethoxazole,2331,1148,25,3479,0.33
Klebsiella pneumoniae,573,ampicillin,3270,7,86,3277,0.002
Klebsiella pneumoniae,573,piperacillin/tazobactam,1728,852,243,2580,0.33
Klebsiella pneumoniae,573,cefepime,1391,868,248,2259,0.384
Klebsiella pneumoniae,573,cefoxitin,1553,1044,214,2597,0.402
Klebsiella pneumoniae,573,imipenem,970,1303,72,2273,0.427
Klebsiella pneumoniae,573,aztreonam,2220,476,57,2696,0.177
Klebsiella pneumoniae,573,cefuroxime,2358,107,15,2465,0.043
Klebsiella pneumoniae,573,ceftriaxone,2145,417,62,2562,0.163
Klebsiella pneumoniae,573,tobramycin,1276,939,388,2215,0.424
Klebsiella pneumoniae,573,cefazolin,2030,429,0,2459,0.174
Klebsiella pneumoniae,573,levofloxacin,1604,393,41,1997,0.197
Klebsiella pneumoniae,573,tetracycline,958,858,197,1816,0.472
Klebsiella pneumoniae,573,ampicillin/sulbactam,1684,245,125,1929,0.127
Klebsiella pneumoniae,573,cefotaxime,1158,420,37,1578,0.266
Klebsiella pneumoniae,573,colistin,338,1026,0,1364,0.248
Klebsiella pneumoniae,573,tigecycline,262,690,117,952,0.275
